Economy,value_2021,value_2021_perc,country_text_id,country_id,year,v2x_libdem,v2x_egaldem,v2clkill,v2cldiscm,v2cldiscw,v2cseeorgs,v2csreprss,v2csantimv,v2csanmvch_0,v2csanmvch_1,v2csanmvch_2,v2csanmvch_3,v2csanmvch_4,v2csanmvch_5,v2csanmvch_6,v2csanmvch_7,v2csanmvch_8,v2csanmvch_9,v2csanmvch_10,v2csanmvch_11,v2csanmvch_12,v2mecenefi,v2meharjrn,v2smgovdom,v2smgovfilcap,v2smgovfilprc,v2smgovshutcap,v2smgovshut,v2smgovsm,v2smgovsmmon,v2smgovsmcenprc,v2smonex,v2smorgavgact,v2smorgelitact,v2smorgtypes_0,v2smorgtypes_1,v2smorgtypes_2,v2smorgtypes_3,v2smorgtypes_4,v2smorgtypes_5,v2smorgtypes_6,v2smorgtypes_7,v2smorgtypes_8,v2smorgtypes_9,v2smarrest,v2smpolsoc
Albania,79,0.79,ALB,12,2021,0.41,0.368,3.188,1.74,1.626,1.78,1.574,0.078,0.5,0.375,0.125,0.125,0.625,0.125,0.5,0.375,0,0,0.125,0,0,0.466,0.526,-0.795,-0.183,-0.004,-1.038,0.323,1.694,-0.297,1.195,2.699,0.998,0.657,1,0.667,0.833,0.833,0.167,0,0,0,0.167,0,1.034,-0.341
Algeria,71,0.71,DZA,103,2021,0.138,0.267,0.445,0.436,0.097,-1.058,-1.241,0.473,0.571,0.429,0.429,0.143,0.714,0,0.286,0.286,0,0.429,0.143,0,0,-1.469,0.027,-1.716,1.829,-1.68,1.56,-1.397,-2.015,-2.154,-1.251,0.639,0.376,0.002,1,0.714,1,0.714,0.286,0.143,0.143,0.143,0,0,-1.294,-1.005
Andorra,94,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,33,0.33,AGO,104,2021,0.168,0.142,1.045,0.504,0.356,0.267,0.581,0.059,0.5,0.5,0.5,0.5,0.75,0,0,0,0.5,0.25,0.25,0,0,0.84,0.328,-0.136,0.225,1.048,0.172,0.406,0.684,-0.094,0.906,-0.935,0.721,-1.055,0.25,0.25,1,0.5,0.25,0,0,0,0,0,0.977,0.455
Antigua and Barbuda,96,0.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argentina,87,0.87,ARG,37,2021,0.657,0.621,2.365,2.623,2.463,2.421,1.934,-0.757,0.143,0.143,0.429,0,0.143,0,0.286,0.429,0.143,0,0,0,0,1.831,1.96,1.136,-0.294,2.367,-1.401,1.926,1.872,0.832,1.811,1.295,1.366,1.211,0.889,0.778,1,0.778,0.222,0.111,0.111,0,0,0,2.636,-2.298
Armenia,79,0.79,ARM,105,2021,0.541,0.604,2.375,2.107,1.695,3.015,1.888,-0.551,0,0.429,0.571,0,0.286,0.286,0,0.286,0,0,0,0,0,1.958,1.078,-0.704,-0.173,1.06,0.658,1.47,1.892,0.731,1.129,1.198,2.976,2.372,0.714,0.429,1,0.143,0.143,0,0,0,0,0,0.957,-1.234
Australia,96,0.96,AUS,67,2021,0.804,0.717,3.022,2.404,2.795,2.816,1.887,-2.273,0.667,0.667,0.667,0,0.667,0.333,0.667,0.333,0.333,0,0.333,0,0,1.26,1.799,0.565,0.283,2.05,-0.491,1.327,1.433,1.471,1.571,2.186,1.141,-1.195,0.857,0.571,0.857,0.286,0.143,0,0,0.143,0,0.429,1.501,0.378
Austria,93,0.93,AUT,144,2021,0.751,0.743,2.84,2.691,3.008,1.327,2.299,-0.372,0.25,0.5,0.5,0,0.25,0.75,0.25,1,0,0,0.25,0,0,1.942,2.219,1.171,-0.609,1.966,-0.379,1.759,1.758,0.974,2.049,1.928,2.177,1.487,1,0.333,1,0,0,0,0.333,0,0,0,2.57,0.095
Azerbaijan,86,0.86,AZE,106,2021,0.066,0.113,1.203,-0.487,-0.737,-0.878,-0.292,-0.7,0.333,0.667,0.833,0,0.833,0.167,0.167,0.167,0,0,0.333,0,0,-0.302,-0.542,-3.081,1.75,-1.872,1.997,-0.647,-0.415,-2.425,-0.461,1.483,-0.267,-1.73,0.857,0.571,0.714,0,0.286,0,0,0,0.143,0.143,-1.411,-0.496
Bahamas,94,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bahrain,100,1,BHR,146,2021,0.054,0.113,-0.231,-1.171,-0.728,-1.605,-1.692,-0.672,0,0,0.75,0,0.25,0.25,0.25,0.25,0.75,0.25,0.75,0,0,-0.31,-1.217,-1.275,2.555,-2.336,1.402,-0.913,0.501,-1.837,-0.906,0.374,1.721,0.062,0.4,0.4,1,0.6,0.4,0.2,0,0,0,0,-2.9,-2.885
Bangladesh,39,0.39,BGD,24,2021,0.103,0.099,-1.491,-0.811,-0.786,1.614,-0.494,-0.999,0.5,0.25,0.5,0.25,0.5,0.25,0.25,0.5,0,0,0.25,0,0,-1.639,-1.588,-1.255,2.211,-0.996,1.598,-1.287,-1.423,-2.536,-2.549,0.421,-0.119,-0.419,0.8,0.8,0.8,0.6,0.6,0.2,0.4,0.6,0.2,0.2,-2.319,-1.35
